,HOW TO DOWNLOAD THIS SPREADSHEET: CLICK FILE > DOWNLOAD AS,,,,,,,,,,,
Ranking,Institution,Uni group,Hesa  code,Average Teaching Score,NSS Teaching (%),NSS Overall (%),Expenditure per student / 10,Student:staff ratio,Career prospects (%),Value added score/10,Entry Tariff,NSS Feedback (%)
2 → 1 → 1,Cambridge,Russell,114,100.0,93,94,9.8,11.8,82,5.7,589,75
1 → 2 → 2,Oxford,Russell,156,94.4,93,93,9.8,11.1,73,6.7,572,72
8 → 4 → 3,London School of Economics,Russell,137,93.9,82,84,8.6,11.8,82,6.8,526,68
4 → 3 → 4,St Andrews,1994 Group,173,86.1,95,93,7.9,13.6,71,7.3,518,69
3 → 6 → 5,Warwick,Russell,163,82.1,89,88,8.6,14.5,73,6.4,496,62
5 → 5 → 6,UCL,Russell,149,80.7,87,88,8.6,10.1,77,7.1,495,61
17 → 8 → 7,Durham,Russell,116,78.4,89,90,6.2,15.3,74,5.6,500,69
6 → 7 → 7,Lancaster,1994 Group,123,78.4,89,88,7.6,14.8,70,5.3,409,70
13 → 14 → 9,Bath,1994 Group,109,75.8,89,91,5.5,17.1,76,6.8,459,66
14 → 11 → 10,Exeter,Russell,119,75.3,91,90,5.5,19.3,69,7.3,455,71
9 → 9 → 11,Loughborough,1994 Group ,152,74.6,87,88,6.6,17.0,69,5.3,391,71
20 → 19 → 12,Surrey,1994 Group,161,73.5,87,87,7.5,17.9,69,6.1,394,69
7 → 10 → 13,Imperial College,Russell,132,73.3,84,85,8.2,11.6,84,4.5,553,55
23 → 21 → 14,Glasgow,Russell,168,73.0,91,90,6.7,15.3,74,5.6,459,65
15 → 16 → 15,Edinburgh,Russell,167,72.5,87,85,8.7,13.9,71,6.8,471,52
na → na → 16,Buckingham,,203,71.6,91,93,3.6,10.5,74,1.7,269,79
9 → 15 → 17,York,Russell,164,71.3,89,87,6.8,15.6,67,4.9,450,68
33 → 25 → 18,Bristol,Russell,112,70.3,90,87,5.7,14.3,75,5.9,477,66
12 → 17 → 19,Leicester,1994 Group,125,70.1,89,89,7.6,13.7,60,5.5,408,73
32 → 27 → 20,Heriot-Watt,,171,69.9,86,86,7.4,18.8,71,6.5,383,67
24 → 22 → 21,City,,115,69.3,82,78,7.9,16.6,66,6.6,370,63
27 → 23 → 22,Kent,,122,69.0,87,88,6.3,14.6,68,5.8,349,66
18 → 28 → 22,Southampton,Russell,160,69.0,86,85,6.0,13.4,69,6.4,439,62
19 → 18 → 24,UEA,1994 Group,117,68.8,91,89,7.7,13.9,57,5.2,393,68
45 → 32 → 25,Reading,1994 Group,157,68.6,88,89,5.8,14.9,66,6.1,374,64
21 → 19 → 26,Nottingham,Russell,155,68.5,87,87,6.4,14.1,72,5.6,435,64
36 → 34 → 27,Aston,,108,67.7,83,86,6.9,17.0,73,6.1,381,64
